name,mt,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,capped
Rajesh Bishnoi   ,First-class,3,5,0,49,25,9.8,168,29.16,0,0,8,0,0,0,0
Rajesh Bishnoi   ,List A,10,6,2,34,17,8.5,95,35.78,0,0,3,0,4,0,0
Rajesh Bishnoi   ,T20s,1,1,0,1,1,1,3,33.33,0,0,0,0,0,0,0
Chetan Bist      ,First-class,25,40,3,1137,159,30.72,2391,47.55,2,8,142,10,91,2,0
Chetan Bist      ,List A,13,11,2,219,82,24.33,342,64.03,0,1,15,5,15,0,0
Chetan Bist      ,T20s,10,6,1,79,41,15.8,68,116.17,0,0,5,4,10,5,0
robin bist,First-class,99,164,25,6634,220,47.72,14534,45.64,15,34,746,52,47,0,0
robin bist,List A,51,50,6,1299,109,29.52,1929,67.34,1,8,94,8,24,0,0
robin bist,T20s,20,18,2,193,30,12.06,232,83.18,0,0,13,0,7,0,0
Amitkumar Gautam,First-class,19,33,1,1161,159,36.28,2718,42.71,4,6,154,14,13,0,0
Amitkumar Gautam,List A,12,12,1,293,149,26.63,449,65.25,1,1,36,4,1,0,0
arjit gupta,First-class,10,19,0,448,77,23.57,878,51.02,0,2,67,3,5,0,0
arjit gupta,List A,16,15,2,416,107,32,503,82.7,1,2,35,15,2,0,0
arjit gupta,T20s,11,10,1,156,72,17.33,131,119.08,0,2,10,10,2,0,0
Manendar Singh,First-class,11,20,2,351,63,19.5,949,36.98,0,2,57,0,9,0,0
Manendar Singh,List A,11,11,1,531,118,53.1,725,73.24,2,3,45,9,9,1,0
Manendar Singh,T20s,4,4,0,22,12,5.5,34,64.7,0,0,1,1,4,0,0
Chaitanya Bishnoi,First-class,37,68,5,1706,94,27.07,4459,38.25,0,15,204,3,20,0,0
Chaitanya Bishnoi,List A,21,21,3,645,88,35.83,1009,63.92,0,5,52,10,4,0,0
Chaitanya Bishnoi,T20s,14,13,1,211,65,17.58,223,94.61,0,1,16,5,2,0,0
himanshu rana,First-class,24,43,1,1386,164,33,2682,51.67,3,8,168,5,15,0,0
himanshu rana,List A,14,13,1,406,89,33.83,492,82.52,0,2,32,7,8,0,0
himanshu rana,T20s,11,10,1,172,59,19.11,144,119.44,0,1,18,4,1,0,0
Subham rohilla,First-class,22,40,1,964,118,24.71,2046,47.11,2,5,113,2,12,0,0
Subham rohilla,List A,17,17,1,489,118,30.56,655,74.65,1,3,54,2,4,0,0
Subham rohilla,T20s,10,10,0,180,44,18,187,96.25,0,0,23,0,1,0,0
rohit sharma,First-class,24,41,2,983,107,25.2,2362,41.61,1,7,99,2,29,3,1
rohit sharma,List A,11,10,0,188,50,18.8,328,57.31,0,1,13,1,8,0,1
rohit sharma,T20s,7,6,1,57,22,11.4,58,98.27,0,0,6,0,3,1,1
manoj tiwari,First-class,114,180,16,8258,267,50.35,14874,55.51,26,34,,,120,0,1
manoj tiwari,List A,154,145,22,5312,151,43.18,,,6,39,,,83,0,1
manoj tiwari,T20s,160,141,39,3055,75,29.95,2613,116.91,0,15,255,77,85,0,0
Boddupalli Amit      ,First-class,8,10,0,182,50,18.2,343,53.06,0,1,27,1,3,0,0
Boddupalli Amit      ,List A,9,7,0,30,11,4.28,44,68.18,0,0,2,0,1,0,0
Sudip Chatterjee,First-class,58,103,5,3789,192,38.66,7809,48.52,10,18,460,7,38,0,0
Sudip Chatterjee,List A,42,40,4,1058,97,29.38,1371,77.16,0,9,91,7,18,0,0
Sudip Chatterjee,T20s,20,17,2,382,89,25.46,327,116.81,0,3,42,3,6,0,0
Abhimanyu Easwaran,First-class,42,75,7,3370,201,49.55,6678,50.46,10,16,400,10,40,0,0
Abhimanyu Easwaran,List A,41,40,1,1838,149,47.12,2278,80.68,4,12,168,13,10,0,0
Abhimanyu Easwaran,T20s,1,1,0,6,6,6,13,46.15,0,0,0,0,1,0,0
Abhishek Raman,First-class,19,35,1,1274,176,37.47,2479,51.39,2,6,174,2,8,0,0
Abhishek Raman,List A,6,6,1,119,76,23.8,111,107.2,0,1,12,3,2,0,0
Abhishek Raman,T20s,3,2,0,42,37,21,32,131.25,0,0,4,1,1,0,0
hanuma Vihari,First-class,69,107,12,5465,302,57.52,11262,48.52,15,27,603,33,67,1,1
hanuma Vihari,List A,64,62,7,2579,169,46.89,3101,83.16,4,16,250,31,20,0,1
hanuma Vihari,T20s,65,64,7,1219,81,21.38,1097,111.12,0,4,104,26,27,2,1
Bodapati Sumanth,First-class,63,99,10,3164,150,35.55,7452,42.45,6,17,387,16,36,0,0
Bodapati Sumanth,List A,50,46,8,1072,79,28.21,1457,73.57,0,7,105,9,20,0,0
Bodapati Sumanth,T20s,19,17,8,249,60,27.66,203,122.66,0,1,15,7,9,0,0
Gautam Gambhir,First-class,198,331,24,15153,233,49.35,,,43,68,,,107,0,1
Gautam Gambhir,List A,299,292,19,10077,151,36.91,,,21,60,,,79,0,1
Gautam Gambhir,T20s,251,245,24,6402,93,28.96,5309,120.58,0,53,747,90,51,0,1
shikhar Dhawan,First-class,121,200,10,8338,224,43.88,,,24,29,,,120,0,1
shikhar Dhawan,List A,230,228,19,9623,248,46.04,,,27,49,,,118,0,1
shikhar Dhawan,T20s,223,221,25,6330,95,32.29,5116,123.72,0,48,719,145,97,0,1
virat kohli,First-class,109,179,15,8862,243,54.03,15452,57.35,32,28,1044,34,103,0,1
virat kohli,List A,251,242,40,11677,183,57.8,12560,92.96,42,56,1126,135,121,0,1
virat kohli,T20s,250,236,45,7809,113,40.88,5857,133.32,4,57,722,245,115,0,1
Lokesh Rahul,First-class,73,123,5,5505,337,46.65,9651,57.04,14,27,690,46,79,0,1
Lokesh Rahul,List A,51,50,6,1674,110,38.04,2248,74.46,4,10,136,26,29,4,1
Lokesh Rahul,T20s,92,80,14,2491,110,37.74,1796,138.69,2,17,219,102,35,5,1
MS Dhoni,First-class,131,210,19,7038,224,36.84,,,9,47,,,364,57,1
MS Dhoni,List A,406,349,93,12804,183,50.01,,,17,82,,,391,133,1
MS Dhoni,T20s,297,266,108,6075,79,38.44,4461,136.18,0,24,420,267,156,77,1
Prithvi Shaw,First-class,17,31,2,1767,188,60.93,2242,78.81,8,8,246,13,13,0,1
Prithvi Shaw,List A,25,25,0,1014,132,40.56,871,116.41,3,6,141,24,5,0,1
Prithvi Shaw,T20s,9,9,0,245,65,27.22,160,153.12,0,2,27,10,4,0,1
Rishabh Pant,First-class,32,49,3,2440,308,53.04,2774,87.95,6,10,255,92,106,9,1
Rishabh Pant,List A,37,34,3,879,135,28.35,834,105.39,1,5,92,30,43,10,1
Rishabh Pant,T20s,61,60,6,1876,128,34.74,1149,163.27,2,13,176,101,33,7,1
Ajinkya Rahane,First-class,124,210,22,9549,265,50.79,17343,55.05,29,41,1168,67,131,0,1
Ajinkya Rahane,List A,164,160,10,5904,187,39.36,,,10,40,,,78,0,1
Ajinkya Rahane,T20s,176,169,19,4537,103,30.24,3828,118.52,1,34,465,85,74,0,1
Dinesh Karthik,First-class,163,249,19,9376,213,40.76,15965,58.72,27,42,,,385,44,1
Dinesh Karthik,List A,216,192,32,6353,154,39.7,7015,90.56,11,33,,,181,40,1
Dinesh Karthik,T20s,257,228,41,5107,90,27.31,3855,132.47,0,25,505,147,159,55,1
Ambati Rayudu,First-class,97,156,21,6151,210,45.56,,,16,34,,,74,0,1
Ambati Rayudu,List A,151,141,23,4856,124,41.15,,,5,36,,,65,0,1
Ambati Rayudu,T20s,195,184,24,4235,100,26.46,3362,125.96,1,23,360,148,75,3,1
Manish Pandey,First-class,87,134,16,6111,238,51.78,9425,64.83,19,27,713,93,124,0,1
Manish Pandey,List A,139,131,27,4504,117,43.3,4931,91.34,8,27,369,94,68,0,1
Manish Pandey,T20s,197,182,35,4166,114,28.34,3504,118.89,1,20,351,112,95,2,1
Mayank Agarwal,First-class,48,81,6,3794,304,50.58,6237,60.83,8,22,494,40,30,0,1
Mayank Agarwal,List A,75,75,1,3605,176,48.71,3579,100.72,12,14,448,63,28,0,1
Mayank Agarwal,T20s,111,106,6,2340,111,23.4,1789,130.79,1,15,236,82,38,0,1
Cheteshwar Pujara,First-class,184,301,35,14474,352,54.41,,,48,49,,,125,0,1
Cheteshwar Pujara,List A,103,101,19,4445,158,54.2,,,11,29,,,39,0,1
Cheteshwar Pujara,T20s,58,50,7,1096,81,25.48,1042,105.18,0,6,121,18,30,0,1
Murali Vijay,First-class,131,220,7,9116,266,42.79,18471,49.35,25,38,1112,107,112,0,1
Murali Vijay,List A,86,85,2,3360,155,40.48,4206,79.88,7,18,323,73,39,0,1
Murali Vijay,T20s,154,152,5,3739,127,25.43,3076,121.55,2,20,347,133,62,0,1
Naman Ojha,First-class,143,244,16,9560,219,41.92,,,21,55,,,417,54,0
Naman Ojha,List A,133,129,7,3933,167,32.23,,,8,21,,,154,43,0
Naman Ojha,T20s,170,150,20,2706,94,20.81,2301,117.6,0,13,237,127,107,24,0
Srikar Bharat,First-class,61,100,6,3433,308,36.52,5921,57.98,6,19,434,58,208,23,0
Srikar Bharat,List A,46,46,2,1281,125,29.11,1842,69.54,3,5,132,15,52,11,0
Srikar Bharat,T20s,31,29,2,369,51,13.66,406,90.88,0,1,34,9,27,5,0
ricky Bhui,First-class,34,52,2,2293,187,45.86,4613,49.7,8,10,256,36,20,0,0
ricky Bhui,List A,31,29,8,984,103,46.85,1255,78.4,1,7,75,34,13,0,0
ricky Bhui,T20s,28,28,7,598,73,28.47,504,118.65,0,5,44,27,4,0,0
Jyothi Sai Krishan,First-class,8,13,1,377,82,31.41,893,42.21,0,3,42,3,4,0,0
Jyothi Sai Krishan,List A,11,11,1,321,72,32.1,416,77.16,0,4,31,5,3,0,0
Jyothi Sai Krishan,T20s,12,11,1,151,33,15.1,163,92.63,0,0,15,0,4,0,0
z,First-class,13,22,2,547,92,27.35,1438,38.03,0,4,70,0,7,,0
Himanshu Asnora,T20s,2,2,0,8,6,4,13,61.53,0,0,0,0,2,,0
