name,mt,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR,4w,5w,10,capped
Praveen Kumar,First-class,66,121,14158,6306,267,23.61,2.67,53,16,17,1,1
Praveen Kumar,List A,139,,6730,5336,185,28.84,4.75,36.3,4,2,0,1
Praveen Kumar,T20s,177,177,3695,4599,143,32.16,7.46,25.8,0,0,0,1
Akshdeep Nath,First-class,22,12,366,179,6,29.83,2.93,61,0,0,0,0
Akshdeep Nath,List A,44,14,360,327,13,25.15,5.45,27.6,0,0,0,0
Akshdeep Nath,T20s,51,15,177,241,12,20.08,8.16,14.7,0,0,0,0
Amit Mishra,First-class,152,0,30843,15608,535,29.17,3.03,57.6,0,21,1,1
Amit Mishra,List A,144,0,7426,5681,242,23.47,4.59,30.6,7,6,0,1
Amit Mishra,T20s,199,198,4168,4970,228,21.79,7.15,18.2,4,2,0,1
Piyush Chawla,First-class,130,227,26086,14276,437,32.66,3.28,59.6,22,23,3,1
Piyush Chawla,List A,131,127,6487,5363,208,25.78,4.96,31.1,7,3,0,1
Piyush Chawla,T20s,208,207,4290,5379,218,24.67,7.52,19.6,3,0,0,0
Mohammad Saif,First-class,17,18,451,252,3,84,3.35,150.3,0,0,0,0
Mohammad Saif,List A,5,4,150,174,3,58,6.96,50,0,0,0,0
Ankit Rajpoot,First-class,50,89,9429,4761,174,27.36,3.02,54.1,9,8,1,0
Ankit Rajpoot,List A,30,29,1421,1152,36,32,4.86,39.4,0,0,0,0
Ankit Rajpoot,T20s,54,54,1078,1351,68,19.86,7.51,15.8,1,2,0,0
Kuldeep Yadav,First-class,30,49,5774,3512,117,30.01,3.64,49.3,7,6,0,1
Kuldeep Yadav,List A,45,43,2334,1843,83,22.2,4.73,28.1,2,2,0,1
Kuldeep Yadav,T20s,79,78,1695,2073,106,19.55,7.33,15.9,3,2,0,1
Deependra Pandey,List A,1,1,42,36,0,0,5.14,0,0,0,0,0
Deependra Pandey,T20s,1,1,6,9,0,0,9,0,0,0,0,0
JaydevUnadkat,First-class,73,125,12392,6172,233,26.48,2.98,53.1,11,12,2,1
JaydevUnadkat,List A,84,84,4416,3549,116,30.59,4.82,38,5,1,0,1
JaydevUnadkat,T20s,110,109,2331,3054,134,22.79,7.86,17.3,0,2,0,1
Hardik Rathod,First-class,18,29,2942,1508,38,39.68,3.07,77.4,0,1,0,0
Hardik Rathod,List A,3,3,78,76,0,0,5.84,0,0,0,0,0
Hardik Rathod,T20s,5,5,106,141,2,70.5,7.98,53,0,0,0,0
Dhawal Kulkarni,First-class,86,140,15531,7174,261,27.48,2.77,59.5,9,15,1,1
Dhawal Kulkarni,List A,110,109,5461,4308,187,23.03,4.73,29.2,5,3,0,1
Dhawal Kulkarni,T20s,118,117,2354,3075,123,25,7.83,19.1,1,0,0,1
Harmeet Singh,First-class,23,43,4720,2369,70,33.84,3.01,67.4,3,3,0,0
Harmeet Singh,List A,11,11,540,363,14,25.92,4.03,38.5,0,1,0,0
Harmeet Singh,T20s,1,1,24,34,1,34,8.5,24,0,0,0,0
Shardul Thakur,First-class,58,101,10524,5492,198,27.73,3.13,53.1,10,12,0,1
Shardul Thakur,List A,46,46,2263,2057,75,27.42,5.45,30.1,4,0,0,1
Shardul Thakur,T20s,54,54,1120,1579,60,26.31,8.45,18.6,1,0,0,1
Vinay Kumar,First-class,128,,22453,10644,454,23.44,2.84,49.4,17,22,4,1
Vinay Kumar,List A,131,,6391,5226,211,24.76,4.9,30.2,10,3,0,1
Vinay Kumar,T20s,164,163,3358,4474,170,26.31,7.99,19.7,1,0,0,1
Prasidh Krishna,First-class,6,11,1015,451,20,22.55,2.66,50.7,0,1,0,0
Prasidh Krishna,List A,33,33,1479,1330,50,26.6,5.39,29.5,4,1,0,0
Prasidh Krishna,T20s,10,10,228,338,14,24.14,8.89,16.2,1,0,0,0
Jagadeesha Suchith,First-class,13,24,2033,1028,45,22.84,3.03,45.1,3,3,0,0
Jagadeesha Suchith,List A,14,13,625,465,20,23.25,4.46,31.2,1,1,0,0
Jagadeesha Suchith,T20s,31,30,564,709,27,26.25,7.54,20.8,0,0,0,0
Sreenath Aravind,First-class,56,105,10301,4454,186,23.94,2.59,55.3,10,2,0,0
Sreenath Aravind,List A,41,41,1949,1440,57,25.26,4.43,34.1,2,0,0,0
